file,qmos,perceived_emotion,emos,target,emos_match,cat_angry,cat_happy,cat_neutral,cat_sad,cat_surprised,valence,arousal,dominance,error
sample_083.wav,2.1715,neutral,1.8723,happy,False,0.0188,0.1139,0.6348,0.1649,0.0675,2.8565,2.6353,2.2864,
sample_084.wav,1.7665,neutral,2.5224,happy,False,0.0437,0.2561,0.4419,0.0938,0.1644,3.1694,3.2392,2.5861,
sample_085.wav,1.9399,happy,3.3393,happy,True,0.0309,0.4822,0.2794,0.0476,0.1599,3.6512,3.6295,2.9462,
sample_086.wav,1.6857,neutral,2.3612,happy,False,0.0316,0.2085,0.5415,0.1011,0.1172,3.0998,2.9658,2.4639,
sample_087.wav,2.3318,neutral,2.3102,happy,False,0.1756,0.2517,0.3518,0.0471,0.1738,3.1697,3.7792,3.0708,
sample_088.wav,1.8546,neutral,2.5451,happy,False,0.0461,0.2349,0.4341,0.1176,0.1672,3.1409,3.1984,2.6464,
sample_089.wav,1.8578,neutral,2.3723,happy,False,0.0351,0.2065,0.5335,0.114,0.1109,3.0652,2.933,2.5347,
sample_090.wav,2.1531,neutral,2.5079,happy,False,0.0466,0.243,0.5188,0.0774,0.1142,3.1579,3.0855,2.6838,
sample_091.wav,1.9686,happy,3.1899,happy,True,0.065,0.432,0.296,0.0439,0.1632,3.5273,3.6755,3.0205,
sample_092.wav,1.7464,neutral,2.8516,happy,False,0.022,0.3497,0.4353,0.0826,0.1104,3.4224,3.113,2.6666,
sample_093.wav,2.0068,happy,2.9815,happy,True,0.0345,0.3912,0.386,0.0697,0.1186,3.4595,3.3349,2.8556,
sample_094.wav,1.6117,neutral,2.0885,happy,False,0.0915,0.1647,0.4258,0.1179,0.2001,2.9266,3.3867,2.6833,
sample_095.wav,2.1365,neutral,2.3185,happy,False,0.095,0.2605,0.4285,0.0555,0.1606,3.1263,3.5245,2.7768,
sample_096.wav,1.8548,happy,3.1287,happy,True,0.0708,0.3944,0.3044,0.0547,0.1757,3.5064,3.5294,3.0476,
sample_097.wav,1.8141,neutral,2.4681,happy,False,0.0934,0.2575,0.4184,0.0676,0.1631,3.1439,3.453,2.7503,
sample_098.wav,1.498,neutral,2.808,happy,False,0.0816,0.3427,0.3612,0.0551,0.1594,3.3401,3.5748,2.8771,
sample_099.wav,2.8516,neutral,2.5916,happy,False,0.0467,0.305,0.4493,0.0661,0.1329,3.2453,3.328,2.6894,
sample_100.wav,1.4835,neutral,2.5952,happy,False,0.0406,0.2889,0.4643,0.0783,0.1279,3.2467,3.2209,2.6212,
